XIMEA code samples list;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sample name;Author;Tomas_category;Description;Duplicate_group_ID;OS platform;Hardware platform;API type;Programming language;Libraries;Year of last update;Location;Path;Copyright;Note;Done?
xiSample_ROI.cpp;XIMEA;Basic acquisition / image capture;Measures and prints the maximum frame rate and frame loss statistics of a connected camera device.;27;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, stdafx, time, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_ROI.cpp;;;
xiSample_ROI_fps.cpp;XIMEA;Basic acquisition / image capture;Measures the maximum frame rate and counts lost or skipped frames during image acquisition from a camera.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, stdafx, time, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_ROI_fps.cpp;;;
xiSample_SWtrigg.cpp;XIMEA;Basic acquisition / image capture;Captures 25 images using XIMEA API with software triggering and prints their timestamps.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_SWtrigg.cpp;;;
xiSample_TriggerDelay.cpp;XIMEA;Basic acquisition / image capture;This sample captures 10 images from a camera and prints the first pixel value of each image.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_TriggerDelay.cpp;;;
xiSample_binning.cpp;XIMEA;Feature / parameter control;Configures camera binning settings and captures multiple images, computing their mean pixel values.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_binning.cpp;;;
xiSample_camSimulator.cpp;XIMEA;Basic acquisition / image capture;This sample captures 10 images from a simulated camera and prints the first pixel value of each.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_camSimulator.cpp;;;
xiSample_downsampling.cpp;XIMEA;Basic acquisition / image capture;This code captures an image from a camera, sets downsampling, and writes raw pixel data to a file.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2016;Files;\\files\Public\Support\samples\xiAPI\xiSample_downsampling.cpp;;;
xiSample_downsampling2.cpp;XIMEA;Basic acquisition / image capture;This code captures 10 images using a XIMEA camera with maximum binning downsampling applied.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_downsampling2.cpp;;;
xiSample_exposure_line__shutter_line_position.cpp;XIMEA;Feature / parameter control;Sets camera exposure, selects sensor unit, and reads the exposure shutter line position from the device.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2024;Files;\\files\Public\Support\samples\xiAPI\xiSample_exposure_line__shutter_line_position.cpp;;;
xiSample_getCamSN.cpp;XIMEA;Basic acquisition / image capture;This code captures 10 images from a XIMEA camera and prints the first pixel value of each.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_getCamSN.cpp;;;
xiSample_highFPS.cpp;XIMEA;Basic acquisition / image capture;Captures 2500 high-frame-rate raw images from a XIMEA camera and saves them to disk.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;direct, m3api, memory, stdafx, time, xiApi;2016;Files;\\files\Public\Support\samples\xiAPI\xiSample_highFPS.cpp;;;
xiSample_hwTrig_GPIO_MC.cpp;XIMEA;Trigger / GPIO / I/O / strobe;This code configures a XIMEA camera for hardware GPIO triggering and captures 10 images.;19;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_hwTrig_GPIO_MC.cpp;;;
xiSample_hwTrig_MC.cpp;XIMEA;Trigger / GPIO / I/O / strobe;This code captures and processes 10 triggered images from a XIMEA camera using specific exposure and GPIO settings.;19;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2019;Files;\\files\Public\Support\samples\xiAPI\xiSample_hwTrig_MC.cpp;;;
xiSample_limitBandwOff.cpp;XIMEA;Basic acquisition / image capture;Captures 10 images from a camera with bandwidth limiting disabled and prints first pixel values.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_limitBandwOff.cpp;;;
xiSample_linearityTest.cpp;XIMEA;Basic acquisition / image capture;Captures images from a camera at different exposure times and calculates the mean pixel value.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_linearityTest.cpp;;;
xiSample_manifest.cpp;XIMEA;Firmware / file access / LUT;This code opens a XIMEA camera, retrieves its manifest data, and saves it as an XML file.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_manifest.cpp;;;
xiSample_maxAcqBuff_buffQueue.cpp;XIMEA;Basic acquisition / image capture;This sample captures and prints information from 10 images using a Xi camera API on Windows.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2022;Files;\\files\Public\Support\samples\xiAPI\xiSample_maxAcqBuff_buffQueue.cpp;;;
xiSample_performance.cpp;XIMEA;Basic acquisition / image capture;Measures and reports the maximum frame rate and frame loss statistics from a connected camera device.;27;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, time, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_performance.cpp;;;
xiSample_performance_MultiCams_NOTfinished.cpp;XIMEA;Multi-camera acquisition;Measures and reports the maximum achievable frame rate and skipped frames for multiple connected cameras.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, time, xiApi;2022;Files;\\files\Public\Support\samples\xiAPI\xiSample_performance_MultiCams_NOTfinished.cpp;;;
xiSample_performance_ZeroROT_PYTHON.cpp;XIMEA;Basic acquisition / image capture;Measures and reports the maximum achievable frame rate and skipped frames for a camera with Zero Rotation enabled.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, stdafx, time, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_performance_ZeroROT_PYTHON.cpp;;;
xiSample_readUserDefects_dec1x2.cpp;XIMEA;Feature / parameter control;This code connects to a camera, lists sensor defect pixels, adds a defect pixel, and saves the updated defect list.;26;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi, xiExt;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_readUserDefects_dec1x2.cpp;;;
xiSample_saveImg.cpp;XIMEA;Save images / video / sequences;Captures three grayscale images from a XIMEA camera and saves them as raw files.;5;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_saveImg.cpp;;;
xiSample_saveImgRGBplanar.cpp;XIMEA;Basic acquisition / image capture;Captures one RGB planar image from a camera and saves it as a raw file to disk.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_saveImgRGBplanar.cpp;;;
xiSample_saveImg_HDRinterleaved.cpp;XIMEA;Save images / video / sequences;Captures 10 HDR interleaved raw images from a XIMEA camera and saves them as separate raw files.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi, xiExt;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_saveImg_HDRinterleaved.cpp;;;
xiSample_saveImg_exp.cpp;XIMEA;Save images / video / sequences;Captures multiple images with increasing exposure from a camera and saves them as raw files.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_saveImg_exp.cpp;;;
xiSample_smallROI.cpp;XIMEA;Basic acquisition / image capture;This code captures ten 8x8 pixel images from a camera and prints the first pixel value of each.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_smallROI.cpp;;;
xiSample_synchroMU.cpp;XIMEA;Basic acquisition / image capture;This code captures synchronized images from one or two cameras using software triggers.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, unistd, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_synchroMU.cpp;;;
xiSample_testAllROI.cpp;XIMEA;Basic acquisition / image capture;This code captures 10 images for each region of interest (ROI) size and logs the results.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_testAllROI.cpp;;;
xiSample_timestamp.cpp;XIMEA;Basic acquisition / image capture;Captures 10 camera images with timestamps before and after resetting the camera's internal timestamp.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_timestamp.cpp;;;
xiSample_timestamp_saveRAW.cpp;XIMEA;Save images / video / sequences;Captures 100 images from a XIMEA camera and saves them as raw files with timestamps.;5;Cross-Platform;Cross-Platform;xiApiPlus;C++;fstream, m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_timestamp_saveRAW.cpp;;;
Program_AEAGROI.cs;XIMEA;Basic acquisition / image capture;This code captures and saves a series of monochrome images using AEAG region settings from a connected camera.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2018;Files;\\files\Public\Support\samples\xiApiNET\Program_AEAGROI.cs;;;
Program_ROI_2.cs;XIMEA;Basic acquisition / image capture;This code configures a camera, captures a series of 1000 region-of-interest images, and checks for all-zero image buffers.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2021;Files;\\files\Public\Support\samples\xiApiNET\Program_ROI_2.cs;;;
Program_measureBandwidth.cs;XIMEA;Feature / parameter control;Measures and displays the available bandwidth of a connected camera device multiple times.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2022;Files;\\files\Public\Support\samples\xiApiNET\Program_measureBandwidth.cs;;;
Program_offlineProc_memTests.cs;XIMEA;Basic acquisition / image capture;Captures images from a camera, processes them offline, and saves the processed images as PNG files.;10;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2017;Files;\\files\Public\Support\samples\xiApiNET\Program_offlineProc_memTests.cs;;;
Program_save16bit_Img.cs;XIMEA;Save images / video / sequences;Captures 16-bit raw grayscale images from a camera and saves them as raw files in a directory.;5;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2018;Files;\\files\Public\Support\samples\xiApiNET\Program_save16bit_Img.cs;;;
Program_save16bit_TIF.cs;XIMEA;Save images / video / sequences;Captures monochrome 16-bit images from a connected camera and saves them as TIFF files.;5;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2019;Files;\\files\Public\Support\samples\xiApiNET\Program_save16bit_TIF.cs;;;
Program_savePNG.cs;XIMEA;Save images / video / sequences;Captures and saves a series of grayscale images from a connected camera device as PNG files.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2019;Files;\\files\Public\Support\samples\xiApiNET\Program_savePNG.cs;;;
Program_saveRGB24_safeBP.cs;XIMEA;Save images / video / sequences;Captures color images from a camera and saves them as RGB 24-bit PNG files using safe buffer policy.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2018;Files;\\files\Public\Support\samples\xiApiNET\Program_saveRGB24_safeBP.cs;;;
Program_saving_16bit_raw.cs;XIMEA;Save images / video / sequences;This code captures 16-bit monochrome images from a camera and saves them as raw files.;5;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2017;Files;\\files\Public\Support\samples\xiApiNET\Program_saving_16bit_raw.cs;;;
Program_test.cs;XIMEA;Basic acquisition / image capture;Captures images from a connected camera using various buffer policies and saves them in multiple formats.;;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2019;Files;\\files\Public\Support\samples\xiApiNET\Program_test.cs;;;
offline_process_netcore.cs;XIMEA;Basic acquisition / image capture;Captures 10 raw images from a camera, processes them offline, and saves processed data.;10;Windows;Cross-Platform;xiApiNET;C#;System, xiApi;2021;Files;\\files\Public\Support\samples\xiApiNET\offline_process_netcore.cs;;;
FFC_openCV.cpp;XIMEA;Flat-field / shading / calibration correction;This code captures images from a camera and toggles flat field correction on key press.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2016;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\FFC_openCV.cpp;;;
FFCdemoWithOpenCV.cpp;XIMEA;Flat-field / shading / calibration correction;This code toggles Flat Field Correction on a camera by pressing any key during live image capture.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2016;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\FFCdemoWithOpenCV.cpp;;;
xiApiPlusOcvExample_DefectCorrEnable.cpp;XIMEA;GUI / live viewer / display;This code captures live images from a camera and toggles sensor defect correction on key press.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2019;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_DefectCorrEnable.cpp;;;
xiApiPlusOcvExample_FrameBurst.cpp;XIMEA;Basic acquisition / image capture;Captures and saves a burst of 50 images from the first camera using software triggering.;28;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2018;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_FrameBurst.cpp;;;
xiApiPlusOcvExample_LUTrange_MQ.cpp;XIMEA;Basic acquisition / image capture;This code captures camera images and applies a custom inverse lookup table (LUT) to modify pixel values.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, stdio, xiApiPlusOcv;2018;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_LUTrange_MQ.cpp;;;
xiApiPlusOcvExample_MultipleExp_SWtrigg.cpp;XIMEA;Basic acquisition / image capture;Captures 50 images from the first camera using software triggering and varying exposure times.;28;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, xiApiPlusOcv;2019;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_MultipleExp_SWtrigg.cpp;;;
xiApiPlusOcvExample_OfflineProc.cpp;XIMEA;Basic acquisition / image capture;Captures 100 raw images from the first camera, processes them offline, and displays the processed images.;10;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2017;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_OfflineProc.cpp;;;
xiApiPlusOcvExample_RAW16X2.cpp;XIMEA;Basic acquisition / image capture;Captures 150 images from the first camera, sets RAW16X2 format, and displays pixel values and images.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, xiApiPlusOcv;2019;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_RAW16X2.cpp;;;
xiApiPlusOcvExample_ROI_16bitMode.cpp;XIMEA;Basic acquisition / image capture;Captures and displays 16-bit mode images from a XIMEA camera with ROI adjustments and pixel value normalization.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, stdio, xiApiPlusOcv;2017;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_ROI_16bitMode.cpp;;;
xiApiPlusOcvExample_SWtrig.cpp;XIMEA;Basic acquisition / image capture;Captures and displays 40 images from the first camera using software-triggered acquisition with OpenCV.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2018;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcvExample_SWtrig.cpp;;;
xiApiPlusOcv_DNGstore.cpp;XIMEA;Save images / video / sequences;This sample captures an image from a XIMEA camera and saves it as a DNG file with metadata.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, m3api, memory, xiApiPlusOcv, xiapi_dng_store;2019;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcv_DNGstore.cpp;;;
xiApiPlusOcv_OfflineProc.cpp;XIMEA;Basic acquisition / image capture;Captures 100 images from the first camera, processes them offline, and displays each using OpenCV.;10;Cross-Platform;Cross-Platform;xiApiPlus;C++;stdio, xiApiPlusOcv;2019;Files;\\files\Public\Support\samples\xiApiPlusOpenCV\xiApiPlusOcv_OfflineProc.cpp;;;
